from_slug,from_location,to_slug,to_location,distance_km,travel_time
kochi-airport,Kochi Airport,aluva,Aluva,12,0.30 Hours
kochi-airport,Kochi Airport,angamaly,Angamaly,7,0.15 Hours
kochi-airport,Kochi Airport,north-paravur,North Paravur,20,0.45 Hours
kochi-airport,Kochi Airport,kalamassery,Kalamassery,18,0.40 Hours
kochi-airport,Kochi Airport,edappally,Edappally,22,0.45 Hours
kochi-airport,Kochi Airport,kaloor,Kaloor,28,1.00 Hours
kochi-airport,Kochi Airport,marine-drive-kochi,Marine Drive Kochi,30,1.10 Hours
kochi-airport,Kochi Airport,vyttila,Vyttila,28,1.00 Hours
kochi-airport,Kochi Airport,palarivattom,Palarivattom,25,0.55 Hours
kochi-airport,Kochi Airport,kakkanad,Kakkanad,26,0.50 Hours
kochi-airport,Kochi Airport,tripunithura,Tripunithura,35,1.15 Hours
kochi-airport,Kochi Airport,thoppumpady,Thoppumpady,38,1.20 Hours
kochi-airport,Kochi Airport,mattancherry,Mattancherry,42,1.30 Hours
kochi-airport,Kochi Airport,fort-kochi,Fort Kochi,45,1.30 Hours
kochi-airport,Kochi Airport,perumbavoor,Perumbavoor,15,0.30 Hours
kochi-airport,Kochi Airport,kothamangalam,Kothamangalam,35,1.00 Hours
kochi-airport,Kochi Airport,muvattupuzha,Muvattupuzha,38,1.10 Hours
kochi-airport,Kochi Airport,piravom,Piravom,45,1.20 Hours
kochi-airport,Kochi Airport,koothattukulam,Koothattukulam,55,1.30 Hours
kochi-airport,Kochi Airport,kolenchery,Kolenchery,30,1.00 Hours
kochi-airport,Kochi Airport,vypin,Vypin,32,1.10 Hours
kochi-airport,Kochi Airport,cherai,Cherai,26,0.50 Hours
kochi-airport,Kochi Airport,thrissur,Thrissur,55,1.15 Hours
kochi-airport,Kochi Airport,chalakudy,Chalakudy,25,0.40 Hours
kochi-airport,Kochi Airport,irinjalakuda,Irinjalakuda,38,1.00 Hours
kochi-airport,Kochi Airport,guruvayur,Guruvayur,80,2.00 Hours
kochi-airport,Kochi Airport,kunnamkulam,Kunnamkulam,75,1.45 Hours
kochi-airport,Kochi Airport,chavakkad,Chavakkad,80,2.00 Hours
kochi-airport,Kochi Airport,wadakkanchery,Wadakkanchery,70,1.40 Hours
kochi-airport,Kochi Airport,palakkad,Palakkad,110,2.30 Hours
kochi-airport,Kochi Airport,ottapalam,Ottapalam,95,2.15 Hours
kochi-airport,Kochi Airport,shoranur,Shoranur,85,2.00 Hours
kochi-airport,Kochi Airport,mannarkkad,Mannarkkad,130,3.00 Hours
kochi-airport,Kochi Airport,malappuram,Malappuram,130,3.15 Hours
kochi-airport,Kochi Airport,perinthalmanna,Perinthalmanna,110,2.45 Hours
kochi-airport,Kochi Airport,manjeri,Manjeri,140,3.30 Hours
kochi-airport,Kochi Airport,tirur,Tirur,115,2.45 Hours
kochi-airport,Kochi Airport,ponnani,Ponnani,100,2.30 Hours
kochi-airport,Kochi Airport,kozhikode,Kozhikode,155,4.00 Hours
kochi-airport,Kochi Airport,vadakara,Vadakara,200,5.00 Hours
kochi-airport,Kochi Airport,koyilandy,Koyilandy,180,4.30 Hours
kochi-airport,Kochi Airport,thamarassery,Thamarassery,185,4.45 Hours
kochi-airport,Kochi Airport,wayanad,Wayanad,240,6.30 Hours
kochi-airport,Kochi Airport,kalpetta,Kalpetta,230,6.00 Hours
kochi-airport,Kochi Airport,sulthan-bathery,Sulthan Bathery,250,6.30 Hours
kochi-airport,Kochi Airport,mananthavady,Mananthavady,260,7.00 Hours
kochi-airport,Kochi Airport,kannur,Kannur,245,6.30 Hours
kochi-airport,Kochi Airport,thalassery,Thalassery,225,5.45 Hours
kochi-airport,Kochi Airport,payyanur,Payyanur,285,7.30 Hours
kochi-airport,Kochi Airport,kasaragod,Kasaragod,330,8.30 Hours
kochi-airport,Kochi Airport,kanhangad,Kanhangad,305,8.00 Hours
kochi-airport,Kochi Airport,kottayam,Kottayam,90,2.15 Hours
kochi-airport,Kochi Airport,pala,Pala,75,2.00 Hours
kochi-airport,Kochi Airport,changanassery,Changanassery,105,2.45 Hours
